mass_kev,limit,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
0.187,3.887945124674788e-16,168.23977891145915,275.5516940086626,16,22.54658276716119,2.5473853311667596,3.92451868268682,0.5890648895310999
0.20000000000000004,3.954004287952313e-16,168.23977891145915,275.5516940086626,16,22.498313104769277,2.5097203134728385,3.92451868268682,0.5890648895310999
0.20921180445041743,2.2460078771477975e-16,197.15264233073208,398.94119342599754,10,13.240374820156287,1.549414177720199,5.080152694516384,0.7243034166692884
0.21884789560699855,2.2986819150971875e-16,197.15264233073208,398.94119342599754,10,13.242028417012062,1.5507044862026909,5.080152694516384,0.7243034166692884
0.22892781570058374,2.2187392910374086e-16,197.15264233073208,420.5976613573348,10,12.817390401020221,1.410432809875973,5.373025288267121,0.7617579877122944
0.23947200705805866,2.2054495315474474e-16,200.65743625058573,443.4297476780225,10,12.80355720145262,1.328379768137453,5.254359295176126,0.7404213600680706
0.25050185355989774,2.1694152009337266e-16,200.65743625058573,467.5012706709754,10,12.608302843981644,1.2989861388777661,5.4400398470508495,0.76234450912731
0.26203972400720216,2.21985483699654e-16,200.65743625058573,467.5012706709754,10,12.607164451360873,1.2980978463959205,5.4400398470508495,0.76234450912731
0.27410901748618066,2.194730530631408e-16,200.65743625058573,492.8795129858378,10,12.432038004612398,1.3047950575115945,5.661297191909178,0.7916434290687988
0.28673421082207445,1.2240838693912534e-16,300.9306133756457,528.8729984193749,1,2.698586768797692,0.30900174948119546,2.1699745696875157,0.414169672564478
0.29994090821876296,1.1955924016524807e-16,300.9306133756457,547.8437465985029,1,2.6619453498272203,0.28041029834056136,2.2703764830465225,0.4327402023759416
0.3137558931847222,1.2107255113405475e-16,306.28027428603536,567.4949781593724,1,2.6414659729338408,0.2644301556416777,2.2344222625200545,0.4231822552255754
0.3282071828506408,1.5380975131547496e-16,306.28027428603536,587.851102135746,2,4.17749859462301,0.4322751727898614,2.2231513729260133,0.40914990810930146
0.3433240847888533,1.605488709443684e-16,306.28027428603536,587.851102135746,2,4.225837039037207,0.469993861380948,2.2231513729260133,0.40914990810930146
0.3591372564498206,1.7282638289306198e-16,306.28027428603536,587.851102135746,2,4.370389735151871,0.5827889294851611,2.2231513729260133,0.40914990810930146
0.3756787673361964,1.8047433593064432e-16,306.28027428603536,598.3013651613278,2,4.403764988170692,0.6245185749881523,2.2442514065821633,0.40992755465727126
0.39298216404057096,1.9625237042992303e-16,311.72503642768623,598.3013651613278,2,4.548159019503751,0.7005927950942581,2.1924596729047097,0.40611129134766333
0.411082538278789,2.130728346046669e-16,311.72503642768623,598.3013651613278,2,4.647741715731632,0.7782975858379388,2.1924596729047097,0.40611129134766333
0.4300165980568162,2.0574668441229658e-16,322.9066569393651,779.309282004083,3,5.883212762017887,0.7391828476740716,2.2677491153155254,0.40800377251689185
0.44982274211548195,2.1236577392122653e-16,322.9066569393651,807.2632145866523,3,5.8328524293527115,0.7443275042709159,2.33612581810465,0.4169173642249392
0.4705411378040738,2.224443977329433e-16,328.646987246594,851.0853873954048,3,5.948097811527762,0.7980894873702309,2.2760326373565807,0.4061908725641166
0.49221380254071406,2.311082379685659e-16,334.4893637375354,881.6139388840766,3,5.927743006887681,0.7983539017562966,2.3026088000392333,0.41078100965287007
0.5,2.1844974147947498e-16,653.4062417915109,897.2864408405845,0,2.7260716134633673,0.3304482877279773,0.5479521200417244,0.10201402686988081
0.5148846890247212,2.1365490697568856e-16,653.4062417915109,929.4722305568423,0,2.7005787661583462,0.31055611328067895,0.62500762141389,0.11682310539629484
0.5385997743737698,2.0759658588822983e-16,653.4062417915109,979.928503024621,0,2.649309138357159,0.27055021013982494,0.7420752289895699,0.1389536577611366
0.5634071533666204,2.1472394587100975e-16,653.4062417915109,997.3487486712933,0,2.6615047992366008,0.2800665348881459,0.7839696437234182,0.14690817483383997
0.5893571359805186,2.1950040177380356e-16,653.4062417915109,1033.1237873183002,0,2.695586953129735,0.30666098087803595,0.8716845355757346,0.16373336738665362
0.6165023494210717,2.2533981621748154e-16,665.0218823244113,1089.206770318928,0,2.7097244943186767,0.31769256288303566,0.9861827495772094,0.18623480155512862
0.6448978448515208,2.3423683763615815e-16,665.0218823244113,1128.2767690076062,0,2.745302372028548,0.3454541283685044,1.0818090964029905,0.20429258197249545
0.6746012090378601,2.44702803129479e-16,665.0218823244113,1168.7482139956726,0,2.778366056920622,0.37125385877422046,1.183909482598791,0.2238715638272875
0.7056726811362198,8.82366004764898e-17,676.8440147705502,1232.1935503843301,0,2.81609402074203,0.40069314536693373,1.3268752948618736,0.2528486568411297
0.7381752748593631,1.072109397084484e-16,688.8763099486066,1254.0983263610337,0,2.854642247349439,0.43077248641243215,1.359194605636324,0.25958781667262826
0.7721749062700509,1.2160379179439055e-16,688.8763099486066,1276.3925048065616,0,2.9001816132887277,0.4663070424643669,1.4197388172737337,0.27110292066211433
0.8077405274604467,1.402674470966804e-16,701.1225039336148,1276.3925048065616,0,3.0339703721860705,0.5707029657298414,1.3922217063037627,0.26604685517372767
0.8449442663886599,1.6360266564283804e-16,713.5863992170313,1276.3925048065616,0,3.1972873233025654,0.6981398598099424,1.3652728584668543,0.26100013761056506
0.8838615731560285,1.5592074410271607e-16,779.309282004083,1418.7314212501403,0,2.9884093739077504,0.5351515298740713,1.6419704661454837,0.3168018422255972
0.924571373021787,1.742464756091059e-16,793.1631081611346,1418.7314212501403,0,3.0608382571972275,0.5916680878002434,1.6096952077701936,0.31067416538167736
