mass_gev,limit_cm2,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
0.05,5.1074269486221544e-33,168.23977891145915,275.5516940086626,16,22.519946528500597,2.526600963704125,3.92451868268682,0.5890648895310999
0.07,9.448927125883488e-38,168.23977891145915,275.5516940086626,16,22.612976799432786,2.5991928698227493,3.92451868268682,0.5890648895310999
0.1,2.749985956194574e-39,197.15264233073208,391.9730655797289,10,13.349456275993004,1.5967771208378525,5.024391801654186,0.7185467299115661
0.14,9.07511135297353e-40,197.15264233073208,406.0331940838081,10,13.105911710261559,1.5441704453868934,5.235185759751799,0.7455979704394562
0.2,5.1026588323158005e-40,197.15264233073208,420.5976613573348,10,12.952545188211385,1.5158946506827669,5.373025288267121,0.7617579877122944
0.3,4.0384052907411226e-40,197.15264233073208,428.074650297493,10,12.905850600530032,1.4903431152136395,5.383126026194507,0.7587551904976542
0.5,4.2435934650635074e-40,197.15264233073208,428.074650297493,10,12.86854368072336,1.4612323710113029,5.383126026194507,0.7587551904976542
0.7000000000000001,5.38958643726294e-40,197.15264233073208,435.68455810227545,11,14.241409070881287,1.6171107713612054,5.3996519214342324,0.757307027979013
1.0,6.7143950461924e-40,197.15264233073208,435.68455810227545,11,14.228208516241454,1.6068103238452893,5.3996519214342324,0.757307027979013
2.0,1.1493953562902719e-39,197.15264233073208,435.68455810227545,11,14.212922634582332,1.5948826870103066,5.3996519214342324,0.757307027979013
5.0,2.6228774214041126e-39,197.15264233073208,435.68455810227545,11,14.203808365323543,1.587770784919253,5.3996519214342324,0.757307027979013
10.0,5.090301839807552e-39,197.15264233073208,435.68455810227545,11,14.200765257144248,1.585396234990001,5.3996519214342324,0.757307027979013
