mass_gev,limit_cm2_mev4,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
2.8,9.084013058506529e-36,165.30120974988552,270.7387555010616,16,25.28674989193194,4.566370264833182,3.7272835762603256,0.5543403529589045
3.0,1.2401643976286836e-36,165.30120974988552,270.7387555010616,16,25.182803549930565,4.485260503200446,3.7272835762603256,0.5543403529589045
3.4,1.5368971331517639e-37,165.30120974988552,270.7387555010616,16,25.00232738997103,4.344434207316804,3.7272835762603256,0.5543403529589045
4.0,2.9185014710105503e-38,165.30120974988552,270.7387555010616,16,24.77395653502201,4.166235482357984,3.7272835762603256,0.5543403529589045
4.4,1.459852627827859e-38,165.30120974988552,270.7387555010616,16,24.638203863227602,4.060307109716408,3.7272835762603256,0.5543403529589045
5.0,7.132635517580643e-39,165.30120974988552,270.7387555010616,16,24.452448852457888,3.915361704659084,3.7272835762603256,0.5543403529589045
5.4,5.0759531670475365e-39,165.30120974988552,270.7387555010616,16,24.339341902472746,3.827103882636071,3.7272835762603256,0.5543403529589045
6.0,3.4794690502523195e-39,165.30120974988552,270.7387555010616,16,24.184925281373637,3.706611952969954,3.7272835762603256,0.5543403529589045
7.0,2.3193773518697428e-39,165.30120974988552,270.7387555010616,16,23.965602671693624,3.53547361130922,3.7272835762603256,0.5543403529589045
8.0,1.8234681791263234e-39,165.30120974988552,270.7387555010616,16,23.788210432062577,3.397053711244052,3.7272835762603256,0.5543403529589045
9.0,1.516311238619147e-39,165.30120974988552,275.5516940086626,16,23.39173023192976,3.2549423741607377,3.9898953757323463,0.5919936219785195
10.0,1.3898509408016186e-39,165.30120974988552,275.5516940086626,16,23.276004792427795,3.164641333911306,3.9898953757323463,0.5919936219785195
12.0,1.2918863022416575e-39,165.30120974988552,275.5516940086626,16,23.10618873408187,3.032133159514311,3.9898953757323463,0.5919936219785195
12.5,1.2851631071200529e-39,165.30120974988552,275.5516940086626,16,23.073434677158826,3.0065750330965697,3.9898953757323463,0.5919936219785195
13.0,1.28294794827661e-39,165.30120974988552,275.5516940086626,16,23.043716967873703,2.9833861813296148,3.9898953757323463,0.5919936219785195
13.1,1.2829737530429857e-39,165.30120974988552,275.5516940086626,16,23.038107568839454,2.979009144006216,3.9898953757323463,0.5919936219785195
13.2,1.2831427154895402e-39,165.30120974988552,275.5516940086626,16,23.032603617505075,2.974714387960219,3.9898953757323463,0.5919936219785195
13.3,5.769103054217596e-40,193.70906508268575,492.8795129858378,11,13.929758474305562,1.8482318810437746,6.116864143268848,0.842647335973809
13.4,5.758703576586187e-40,193.70906508268575,492.8795129858378,11,13.924089224183954,1.8438081416687613,6.116864143268848,0.842647335973809
13.5,5.7491039986622726e-40,193.70906508268575,492.8795129858378,11,13.918515007875927,1.839458557572505,6.116864143268848,0.842647335973809
13.7,5.691697197427191e-40,193.70906508268575,501.6414605809166,11,13.908266849333009,1.8326993919717753,6.113852144789707,0.839059546072653
14.0,5.6709607377937904e-40,193.70906508268575,501.6414605809166,11,13.892528052556651,1.8204183435929957,6.113852144789707,0.839059546072653
17.0,5.579129931974614e-40,197.15264233073208,547.8437465985029,11,13.657314663384593,1.7167408918179037,6.239586166672404,0.8573097936424732
20.0,5.839898580277121e-40,197.15264233073208,547.8437465985029,11,13.575369288900628,1.6527985763566149,6.239586166672404,0.8573097936424732
30.0,7.321023060657859e-40,197.15264233073208,557.5827965519259,11,13.466918935662733,1.5541758233503198,6.21079820904279,0.8488449236788792
50.0,1.1020789025517309e-39,197.15264233073208,567.4949781593724,11,13.356423409666466,1.4915143361655088,6.244847576228808,0.851855156192743
100.0,2.120410378425109e-39,197.15264233073208,567.4949781593724,11,13.319232575583397,1.4624941741346036,6.244847576228808,0.851855156192743
