mass_gev,limit_cm2,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
2.73,1.405642387300919e-34,165.30120974988552,270.7387555010616,16,25.322639662266482,4.594375201426808,3.7272835762603256,0.5543403529589045
2.75,9.563630472607018e-35,165.30120974988552,270.7387555010616,16,25.310558018793916,4.584947844933799,3.7272835762603256,0.5543403529589045
2.8,4.294755902684433e-35,165.30120974988552,270.7387555010616,16,25.28042861956028,4.561437749793117,3.7272835762603256,0.5543403529589045
3.0,5.485669009409039e-36,165.30120974988552,270.7387555010616,16,25.16137505824601,4.468539762294918,3.7272835762603256,0.5543403529589045
3.2,1.5293999548860045e-36,165.30120974988552,270.7387555010616,16,25.045223319043526,4.377906078621697,3.7272835762603256,0.5543403529589045
3.5,4.106095258519334e-37,165.30120974988552,270.7387555010616,16,24.875610455028138,4.245556457603282,3.7272835762603256,0.5543403529589045
3.7,2.1321044994616303e-37,165.30120974988552,270.7387555010616,16,24.76469317088919,4.159007240918566,3.7272835762603256,0.5543403529589045
4.0,9.772476987696119e-38,165.30120974988552,270.7387555010616,16,24.600964530182726,4.031249103744521,3.7272835762603256,0.5543403529589045
4.2,6.397748524764572e-38,165.30120974988552,270.7387555010616,16,24.493710892338544,3.9475586454533613,3.7272835762603256,0.5543403529589045
4.5,3.76202498842995e-38,165.30120974988552,270.7387555010616,16,24.336312104572094,3.824739718772437,3.7272835762603256,0.5543403529589045
4.7,2.787960511443093e-38,165.30120974988552,270.7387555010616,16,24.234146502796452,3.745019476120918,3.7272835762603256,0.5543403529589045
5.0,1.8947971390807925e-38,165.30120974988552,270.7387555010616,16,24.085758530611738,3.629231726197915,3.7272835762603256,0.5543403529589045
5.2,1.5161171080347715e-38,165.30120974988552,270.7387555010616,16,23.99041880652051,3.5548377442041326,3.7272835762603256,0.5543403529589045
5.5,1.131595731684312e-38,165.30120974988552,270.7387555010616,16,23.85324834954122,3.4478030679045544,3.7272835762603256,0.5543403529589045
5.7,9.172562329893892e-39,165.30120974988552,275.5516940086626,16,23.51533538236905,3.351391985524415,3.9898953757323463,0.5919936219785195
6.0,7.29638181566084e-39,165.30120974988552,275.5516940086626,16,23.390184532226517,3.253736258273717,3.9898953757323463,0.5919936219785195
6.5,5.311721022619672e-39,165.30120974988552,275.5516940086626,16,23.198508041915126,3.104170298179131,3.9898953757323463,0.5919936219785195
